,Wlambda3.unity,C1SP2,C2SP2,C2SP3,Kier2,MDEC-33,MOMI-XZ,WTPT-5,VR2_A,ATS7i,AATS8dv,AATS3v,AATS8v,ATSC6dv,ATSC2d,ATSC3d,ATSC4d,ATSC8d,ATSC2s,ATSC3s,ATSC5s,ATSC6pe,ATSC3p,ATSC2i,ATSC8i,AATSC6m,AATSC7m,AATSC8m,AATSC6v,nBondsD,SssCH2,SsF,PEOE_VSA2,PEOE_VSA7,SlogP_VSA1,SlogP_VSA3,SlogP_VSA5,EState_VSA4,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState3,VSA_EState4,SLogP,nBondsD2,nHCsats,nssCH2,SHBint2,SHBint4,SHBint7,SHCsatu,LipoaffinityIndex,nHBAcc_Lipinski,SRW9,TDB8v,TDB9v,TDB2i,TDB4i,TDB7i,TDB10s,RDF80m,RDF30i,RDF30s,RDF45s,RDF55s,RDF80s,pIC50
37,18.47414445,2,5,8,9.646502836,7.826583972999999,5.485672835,8.96415153,110.83812025256931,21734.291206289832,4.172413793103448,166.41330140493528,148.50259072166685,-20.60938100730488,-13.629757785467124,-9.26297577854671,-4.262975778546713,-4.13840830449827,45.74533833141099,-36.091887735486345,-9.777008842752792,-2.920016262975799,-1.3161043730776334,-39.489589509859144,-27.62459059666973,-1.0929643153305657,0.5645991605197853,5.320654335049311,0.27330602877771937,2,1.0558807509818045,65.911645408629,9.589074368143644,30.89228342893664,11.050456081168516,16.00989599106965,31.246737983401037,6.06636706846161,5.316788604006331,5.733667477162185,25.7734677653983,2.468310078876561,5.768103237158557,2.1262,2.0,10.0,7.0,4.8843766791063015,16.89825728278748,9.173540823130422,1.5981223740046169,7.55712165106929,5,8.28576542051433,1136.8310295437016,1354.608151924133,360.5125703760591,662.1389021623986,1118.248735973473,38.982955520183566,4.830532300634506,34.30007076812399,32.27473704997129,57.65943858210842,62.873876641958006,19.052605241080112,8.886
76,11.59683524,4,9,5,13.5168,9.866724755,2.303299602,9.014989765,12.355278898266384,20550.20995556478,5.798165137614678,197.77163207074798,177.2595109142481,-67.20408163265307,-8.343112244897961,-10.775510204081634,-7.059948979591839,5.7971938775510194,11.000566893424047,-3.1933106575963683,6.55045351473922,-3.126613775510208,-3.876211355738001,-31.90206423929752,23.795779998560576,-2.6625460143309536,-0.9721347562764672,2.4640431758878667,-2.271320536009908,4,-0.4819589089227701,40.292869206963246,4.794537184071822,35.746825811704824,5.733667477162185,32.090503863182676,34.326534905014825,5.008912523954532,9.838270479539773,10.470530430962237,36.611575587424156,4.8527955369176645,6.6957808010045765,2.480500000000001,4.0,5.0,4.0,0.0,6.3003136721354975,14.330585158040915,2.5736150797073725,7.3214223238322615,8,6.6052979209482015,1197.750014193358,1334.1394027664533,349.1853754781556,648.8718893495,1055.7372955025355,36.544700704380524,17.313759085132364,22.58790109289832,19.69069566048336,75.51585132970985,99.32886859487076,58.5404793278807,5.569
96,8.889784355,4,9,5,11.74380165,8.206120302999999,2.23683518,15.08073953,10.660177425761717,18187.857387143038,5.4848484848484835,183.57713345984538,171.70344554422175,-63.45600000000001,-8.126399999999997,-6.1919999999999975,-8.311999999999998,5.0976,2.8189888888888897,-7.842555555555558,28.259266666666665,-3.2599696000000016,-1.1991500289678008,-52.30345799603714,29.71266530727952,-2.4592688196691643,-1.638570088471325,2.2021993427491138,0.2831318623613388,3,0.016488324053640646,40.14686570680324,14.573052889090853,30.18337432000784,11.050456081168516,22.55465239698223,24.09902273239748,11.075279592416141,15.402174650693262,5.733667477162185,29.11213943275984,7.681049976131248,6.426068909038683,1.6618999999999997,3.0,5.0,4.0,5.484606719511264,6.226930857623542,15.515705441269365,2.4414552636366755,7.152621764528737,7,6.6052979209482015,1207.441160447956,1366.6897726209927,353.28611862121056,660.3907439372755,1091.481682352236,37.007285476120884,11.855726642533606,16.953489823952726,18.412284745084797,66.53661314891944,63.48444170936594,45.55547814017921,5.131
102,8.53575554,4,10,5,14.23529412,9.73184862,1.80118388,12.05379386,18.63617613285463,22581.232977504435,5.357723577235771,187.08970736019285,168.5358238772338,-81.4078478002378,-9.674791914387626,-4.211950059453032,-9.679250891795483,8.716706302021402,21.028586999603665,-19.117593143083628,28.87618080327653,-5.040009274673015,-1.2781922861250057,-45.94379295375445,36.73917675936914,-4.591306868798799,1.6342009658500998,0.7669280274414545,-2.546753674014452,4,-0.7578323320382174,40.34738946408474,9.589074368143644,35.746825811704824,15.787319034968565,27.34918958105405,23.968546229246012,5.008912523954532,10.418196129746054,15.577057825802939,35.969859108648635,16.304486375386475,6.3918976044512785,1.7303000000000002,4.0,5.0,5.0,13.190119203571632,6.260477718221905,15.549364256685855,3.423287451887669,6.8176420295724975,9,6.6052979209482015,1211.8078832033584,1429.4410089292371,350.60642649877593,645.1345140816796,1068.0365238628133,43.84620608076029,14.744036878537704,30.90758735741397,38.306372719276695,63.82159975914213,81.89403665986633,49.389394882544394,5.553
67,16.32576432,3,5,3,10.85782272,6.077721176,5.518281987999999,12.74442644,5.7622734198831616,20720.280069038363,3.9010989010989015,185.03023736634162,156.94809936647317,20.550173010380615,-6.467128027681657,-11.761245674740481,-18.003460207612452,-4.041522491349482,20.3558246828143,-26.181757016532107,12.940215301806994,-3.1794958477508684,1.8363696221547137,-47.831297279303854,7.151409622170304,-2.0807489559304133,12.758456794845815,-6.071673443978348,0.048458922148520836,3,0.4768065830173522,40.03372288493498,14.383611552215465,18.050640183084614,5.733667477162185,20.804433175141472,25.83174751400425,6.06636706846161,0.0,5.733667477162185,37.44040843539054,2.567877989504627,5.790432995435702,0.8179999999999996,3.0,7.0,6.0,0.0,6.1309074675988615,6.821297687070528,1.9586901845171698,6.308777300107922,7,5.198497031265826,1185.9106450036795,1383.045159696721,359.11593885722647,638.6701116757429,1084.9726206206567,37.022445736971115,9.301043287999995,28.801423742792178,20.690780812916955,33.82610609508916,48.46288586493767,28.944660799974518,5.796
56,23.39172036,5,5,3,10.85782272,5.345015106,14.96501708,18.64245444,8.118721179959959,19086.910327030768,4.544444444444443,181.68542400633754,152.85983863391104,-23.899208663057074,-8.1445231153686,-7.931695127030405,-11.056643065389423,0.5064556434818833,4.2417279837104855,13.466703688278027,8.046959600166588,-2.8222346938775535,0.22446923170084632,-43.17226581651935,18.83679785024145,-4.538064594205256,6.867209813605842,3.6383104331708833,-3.872516288571195,1,2.0009995147716118,40.072360589939976,14.78742822897356,18.050640183084614,16.059368605123048,11.21535880699783,11.984273114623006,11.884229846296638,15.393748439004804,5.733667477162185,22.80380104880107,1.4700699693457628,8.915468453997008,1.0071999999999994,1.0,7.0,6.0,0.0,6.158497384505634,6.6162397517239055,0.7435439499874024,7.484031248881518,7,5.093750200806762,1242.6492206784449,1573.217754302349,362.92024787792224,653.3105925262001,1123.4071475482442,38.59156028653652,9.452590020585324,18.943091001348254,11.658793653604658,26.88385473126877,46.37468222330003,34.317174672000355,5.602
52,11.33346493,1,5,3,8.740894901,5.23244964,5.797128616,11.98818543,9.642288314937282,14435.174640116027,4.191176470588236,165.51341241390708,140.10542759907844,-46.261154074955385,-5.6424747174301055,-2.531231409875076,-8.136228435455088,2.324806662700773,6.0114680415096835,16.962043096040713,12.320939916716233,-3.4879276026174875,-0.021112213876145255,-42.482084678509885,12.992679748669346,-7.391427942159059,6.1834992682097445,2.9898916019334685,-5.484759081495322,1,2.5117559168758663,39.55908220913712,9.803449708026353,18.050640183084614,16.4762474782789,11.21535880699783,11.984273114623006,12.611123474374185,10.742580001116718,5.733667477162185,12.085308222054255,4.603487285561704,8.758918984821763,0.3002000000000004,1.0,7.0,6.0,0.0,6.038483259411925,9.020762087504039,0.7079712301587302,6.097157542919831,5,4.976733742420574,1006.6551372767174,1193.551884760403,359.7580546198173,656.026997737589,1058.7004901273592,35.238332208440745,4.430418600615502,18.932659529455787,23.618431681610407,29.95765893125072,46.77194804717964,10.895049972473853,5.009
32,8.970133431,3,7,6,11.74380165,7.268825662999999,1.8544629819999998,11.50716058,9.330276199068784,20915.47052579428,3.9649122807017534,179.97272539673995,157.00126807386474,1.4905805459438612,-9.333333333333336,-9.777777777777779,-3.111111111111111,3.666666666666668,11.239491221325137,15.799906019052505,-3.0126126703404688,-1.0163222222222252,-2.462067225030625,-32.743491855394595,15.343378549578116,-0.2830384558683645,-0.24430335019519686,5.283677614755941,-0.3832043639540099,1,2.2393384398492477,40.19643573213753,4.794537184071822,36.958650497398246,10.470530430962237,11.21535880699783,30.389367852172022,18.90801031431363,4.9839785209472085,15.732421985700721,18.37590971330437,8.791460469985804,6.326541008027228,2.7004800000000007,1.0,8.0,6.0,0.0,6.172962498497466,8.044867957694876,0.7310866752195215,7.710161794879283,6,6.580639137284948,1082.757283250432,1318.1678972018362,350.21209728673705,655.1147551193069,1059.4079217948338,32.869216005561434,21.257749703987926,22.79012193095253,12.774891946845427,37.86349188787253,48.203153369568895,60.41886857476757,8.699
68,20.44018475,5,7,3,12.80799667,7.232039426,6.217397191,15.88846397,9.768519073528768,26706.16674017442,3.626865671641791,192.49095192938114,151.46833232426647,-36.42228377962452,-7.529701446598956,-10.51769775315482,-13.687596183441064,-3.1517389966143416,11.972179474026206,-7.914785746041519,-2.3477993228685734,-3.787460972606964,-0.051525767435900205,-41.862104748197616,11.516511962866941,-3.1480001112695097,4.245991911525349,-0.1611527903517499,-1.6999324320126687,3,0.16411381836904382,40.392947443224756,19.367590073162674,30.18337432000784,5.733667477162185,16.00989599106965,29.265998990082444,6.06636706846161,4.9839785209472085,5.733667477162185,43.1908359901731,2.5579705820972194,6.150781665561851,1.5068999999999997,3.0,7.0,6.0,0.0,6.197686429769423,6.8141876525908565,1.407288593637557,7.516788413171384,8,5.198497031265826,1102.7854000578484,1389.0799026543075,357.7367745111997,645.7509429971942,1047.341257615622,35.396034307888065,6.1643006648877074,33.09122792782443,26.4248201179587,52.1140421869924,48.58731248588708,34.09140264731644,6.18
90,12.91079704,3,11,5,11.82314494,9.262070827,2.381376399,14.46567388,8.209283292627353,19600.45633351373,6.131410256410258,195.1376902001172,176.1238913234933,-46.84727661089357,-11.131363474546104,-8.447846208615164,-6.234247063011749,7.044143823424705,50.53786464826706,-30.053903385209487,-20.243514044119397,-2.5414529369882635,-1.7711350684748193,-44.65603650682975,26.16212065067451,-2.799846357791338,1.4649197213339988,4.203409535284323,-0.4056707815394947,5,-0.44238308444955865,40.24524759132825,9.589074368143644,42.316108456931055,16.189429818776453,26.033187144477235,18.40509473754901,5.008912523954532,10.418196129746054,10.872641214770127,25.10282124583093,12.412992314860134,5.974805816477895,1.2366,5.0,5.0,3.0,18.62296999574469,6.247367370524434,15.761925782140764,2.5166500600710755,6.281423503377984,9,6.6052979209482015,1260.0919873116306,1531.8337898834109,355.1192406894978,662.1120275745471,1064.2468549829666,47.14248436089749,15.47369837167892,26.38432221082447,27.232638754714397,45.48914495129058,40.835902771264905,57.68248986282098,5.041
